1,1970,1,1,1969,11,24,十一,廿四,己酉,丙子,辛巳,鸡
2,1970,1,2,1969,11,25,十一,廿五,己酉,丙子,壬午,鸡
3,1970,1,3,1969,11,26,十一,廿六,己酉,丙子,癸未,鸡
4,1970,1,4,1969,11,27,十一,廿七,己酉,丙子,甲申,鸡
5,1970,1,5,1969,11,28,十一,廿八,己酉,丙子,乙酉,鸡
6,1970,1,6,1969,11,29,十一,廿九,己酉,丁丑,丙戌,鸡
7,1970,1,7,1969,11,30,十一,三十,己酉,丁丑,丁亥,鸡
8,1970,1,8,1969,12,1,腊,初一,己酉,丁丑,戊子,鸡
9,1970,1,9,1969,12,2,腊,初二,己酉,丁丑,己丑,鸡
10,1970,1,10,1969,12,3,腊,初三,己酉,丁丑,庚寅,鸡
11,1970,1,11,1969,12,4,腊,初四,己酉,丁丑,辛卯,鸡
12,1970,1,12,1969,12,5,腊,初五,己酉,丁丑,壬辰,鸡
13,1970,1,13,1969,12,6,腊,初六,己酉,丁丑,癸巳,鸡
14,1970,1,14,1969,12,7,腊,初七,己酉,丁丑,甲午,鸡
15,1970,1,15,1969,12,8,腊,初八,己酉,丁丑,乙未,鸡
16,1970,1,16,1969,12,9,腊,初九,己酉,丁丑,丙申,鸡
17,1970,1,17,1969,12,10,腊,初十,己酉,丁丑,丁酉,鸡
18,1970,1,18,1969,12,11,腊,十一,己酉,丁丑,戊戌,鸡
19,1970,1,19,1969,12,12,腊,十二,己酉,丁丑,己亥,鸡
20,1970,1,20,1969,12,13,腊,十三,己酉,丁丑,庚子,鸡
21,1970,1,21,1969,12,14,腊,十四,己酉,丁丑,辛丑,鸡
22,1970,1,22,1969,12,15,腊,十五,己酉,丁丑,壬寅,鸡
23,1970,1,23,1969,12,16,腊,十六,己酉,丁丑,癸卯,鸡
24,1970,1,24,1969,12,17,腊,十七,己酉,丁丑,甲辰,鸡
25,1970,1,25,1969,12,18,腊,十八,己酉,丁丑,乙巳,鸡
26,1970,1,26,1969,12,19,腊,十九,己酉,丁丑,丙午,鸡
27,1970,1,27,1969,12,20,腊,二十,己酉,丁丑,丁未,鸡
28,1970,1,28,1969,12,21,腊,廿一,己酉,丁丑,戊申,鸡
29,1970,1,29,1969,12,22,腊,廿二,己酉,丁丑,己酉,鸡
30,1970,1,30,1969,12,23,腊,廿三,己酉,丁丑,庚戌,鸡
31,1970,1,31,1969,12,24,腊,廿四,己酉,丁丑,辛亥,鸡
32,1970,2,1,1969,12,25,腊,廿五,己酉,丁丑,壬子,鸡
